"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.839873220E-1,-5.190000534E-1,6.931950092E0,7.408950329E0,1.015942115E1
5.865174760E-1,-8.059500456E-1,6.919950485E0,7.198050499E0,1.001734502E1
5.890501740E-1,-8.920500278E-1,6.747000217E0,7.129050255E0,9.856019619E0
5.915777910E-1,-8.250000477E-1,6.775950432E0,7.167000294E0,9.897475564E0
5.941079430E-1,-7.339500189E-1,6.889050484E0,7.171950340E0,9.971688467E0
5.966378660E-1,-7.369500399E-1,6.831000328E0,7.114050388E0,9.890165508E0
5.991707740E-1,-7.530000210E-1,6.783000469E0,7.117050171E0,9.860451690E0
6.016981610E-1,-6.619500518E-1,6.915000439E0,7.159950256E0,9.975985997E0
6.042283120E-1,-4.999500215E-1,6.924000263E0,7.153050423E0,9.967841292E0
6.067583890E-1,-4.489500225E-1,6.915000439E0,7.026000500E0,9.868306350E0
6.092910870E-1,-5.230500102E-1,6.924000263E0,6.801000118E0,9.719514575E0
6.118187040E-1,-6.049500108E-1,6.739950180E0,6.583050251E0,9.440839134E0
6.143486250E-1,-7.290000319E-1,6.622950077E0,6.561000347E0,9.351023170E0
6.168787790E-1,-6.430500150E-1,6.697050095E0,6.834000111E0,9.589971366E0
6.194116250E-1,-4.369500279E-1,6.766050339E0,7.153050423E0,9.855784741E0
6.219390890E-1,-4.519500136E-1,6.982050419E0,7.300950527E0,1.011222851E1
6.244691640E-1,-7.129500508E-1,7.042050362E0,7.180950165E0,1.008289722E1
6.269993170E-1,-7.939500213E-1,6.787950516E0,7.105050564E0,9.858416321E0
6.295322220E-1,-7.080000043E-1,6.714000225E0,7.162050247E0,9.842460402E0
6.320593770E-1,-7.249500155E-1,6.879000187E0,7.180950165E0,9.970568758E0
6.345897600E-1,-7.320000529E-1,6.924000263E0,7.168950558E0,9.993570724E0
6.371196830E-1,-7.249500155E-1,6.820950508E0,7.165050507E0,9.919116247E0
6.396525720E-1,-6.169500351E-1,6.922050476E0,7.228950500E0,1.002761863E1
6.421799590E-1,-5.020500422E-1,6.879000187E0,7.239000320E0,9.998791100E0
6.447100340E-1,-4.759500325E-1,6.871950150E0,7.117050171E0,9.904677199E0
6.472401880E-1,-4.950000346E-1,6.976950169E0,6.889050484E0,9.817427120E0
6.497728800E-1,-5.689499974E-1,6.781050205E0,6.718950272E0,9.562982732E0
6.523002670E-1,-6.580500603E-1,6.562950134E0,6.628050327E0,9.350743045E0
6.548304180E-1,-6.499500275E-1,6.654000282E0,6.796050549E0,9.533334037E0
6.573605720E-1,-4.330500066E-1,6.853050232E0,7.147950172E0,9.911862663E0
6.598934080E-1,-3.769500256E-1,7.051050186E0,7.348950386E0,1.019149017E1
6.624207950E-1,-6.480000019E-1,7.048950195E0,7.198050499E0,1.009552048E1
6.649509470E-1,-7.800000310E-1,6.831000328E0,7.083000183E0,9.871162906E0
6.674811010E-1,-7.129500508E-1,6.735000134E0,7.141050339E0,9.841906549E0
6.700140430E-1,-7.129500508E-1,6.859950542E0,7.171950340E0,9.950079945E0
6.725411990E-1,-7.050000429E-1,6.891000271E0,7.141050339E0,9.948744128E0
6.750713510E-1,-6.700500250E-1,6.775950432E0,7.191000462E0,9.903179233E0
6.776015040E-1,-6.070500016E-1,6.874050140E0,7.204950333E0,9.976591819E0
6.801343560E-1,-4.920000136E-1,6.984000206E0,7.215000153E0,1.005358394E1
6.826618190E-1,-4.399500191E-1,6.975000381E0,7.105050564E0,9.966239504E0
6.851918940E-1,-4.900500178E-1,6.984000206E0,6.772050381E0,9.740486346E0
6.877220480E-1,-5.689499974E-1,6.819000244E0,6.535050392E0,9.461995141E0
6.902547260E-1,-6.769500375E-1,6.651000500E0,6.478050232E0,9.309092534E0
6.927821130E-1,-6.580500603E-1,6.634950161E0,6.729000092E0,9.472857845E0
6.953122650E-1,-4.399500191E-1,6.751950264E0,7.071000099E0,9.786798802E0
6.978424180E-1,-2.820000052E-1,6.984000206E0,7.336950302E0,1.013344081E1
7.003752790E-1,-5.230500102E-1,7.047000408E0,7.243950367E0,1.011971408E1
7.029027420E-1,-8.230500221E-1,6.874050140E0,7.102050304E0,9.918119539E0
7.054328170E-1,-8.250000477E-1,6.735000134E0,7.095000267E0,9.817325535E0
7.079629710E-1,-7.819500566E-1,6.867000103E0,7.107000351E0,9.913455013E0
7.104956630E-1,-6.910500526E-1,6.940950394E0,7.213050365E0,1.003406389E1
7.130230500E-1,-6.889500618E-1,6.820950508E0,7.267950535E0,9.991152236E0
7.155532020E-1,-6.700500250E-1,6.807000160E0,7.225050449E0,9.949149321E0
7.180832790E-1,-5.430000424E-1,6.879000187E0,7.252950191E0,1.001103287E1
7.206162120E-1,-4.210500121E-1,6.868950367E0,7.168950558E0,9.937485313E0
7.231435980E-1,-4.470000267E-1,6.946050167E0,6.897000313E0,9.798777233E0
7.256737500E-1,-5.790000558E-1,6.862050533E0,6.648000240E0,9.571775477E0
7.282039040E-1,-7.150500417E-1,6.618000507E0,6.517950535E0,9.316271059E0
7.307365910E-1,-7.770000100E-1,6.598950386E0,6.583050251E0,9.353417868E0
7.332639780E-1,-5.740500093E-1,6.726000309E0,6.954000473E0,9.691580684E0
7.357941300E-1,-3.940500319E-1,6.847950459E0,7.282050133E0,1.000389699E1
7.383242840E-1,-5.380499959E-1,6.958050251E0,7.291950226E0,1.009338889E1
7.408571250E-1,-8.230500221E-1,6.948000431E0,7.171950340E0,1.001943077E1
7.433845880E-1,-8.490000367E-1,6.798000336E0,7.126050472E0,9.885049568E0
7.459146630E-1,-7.459500432E-1,6.867000103E0,7.117050171E0,9.917889645E0
7.484448170E-1,-7.630500197E-1,6.922050476E0,7.074000359E0,9.926656496E0
7.509775100E-1,-7.699500322E-1,6.814050198E0,7.087950230E0,9.862207745E0
7.535048960E-1,-7.249500155E-1,6.769050121E0,7.146000385E0,9.869696732E0
7.560350480E-1,-6.379500031E-1,6.853050232E0,7.150050163E0,9.924439280E0
7.585652020E-1,-5.089499950E-1,6.955950260E0,7.095000267E0,9.949035275E0
7.610980480E-1,-4.420500100E-1,6.955950260E0,6.907950401E0,9.813278299E0
7.636254590E-1,-5.470499992E-1,6.934050560E0,6.612000465E0,9.596815671E0
7.661556110E-1,-7.249500155E-1,6.819000244E0,6.463050365E0,9.423127765E0
7.686857640E-1,-7.369500399E-1,6.771000385E0,6.609000206E0,9.490438625E0
7.712184570E-1,-5.209500194E-1,6.666000366E0,6.928050518E0,9.628334944E0
7.737458330E-1,-3.799500167E-1,6.781050205E0,7.260000229E0,9.941559597E0
7.762759850E-1,-4.950000346E-1,6.874050140E0,7.236000538E0,9.992862160E0
7.788060620E-1,-7.800000310E-1,6.856950283E0,6.979950428E0,9.815593472E0
7.813389850E-1,-8.710500598E-1,6.829050541E0,6.897000313E0,9.744910098E0
7.838663860E-1,-8.160000443E-1,6.817050457E0,7.023000240E0,9.821433978E0
7.863965380E-1,-7.920000553E-1,6.871950150E0,7.141050339E0,9.942110585E0
7.889266910E-1,-7.200000286E-1,6.886050224E0,7.282050133E0,1.004810141E1
7.914593840E-1,-6.739500165E-1,6.877050400E0,7.330050468E0,1.007361259E1
7.939867840E-1,-6.409500241E-1,6.886050224E0,7.308000565E0,1.006157924E1
7.965169360E-1,-5.070000291E-1,6.771000385E0,7.203000546E0,9.898823774E0
7.990470900E-1,-5.040000081E-1,6.774000168E0,6.946950436E0,9.716028748E0
8.015799360E-1,-6.070500016E-1,6.874050140E0,6.661950111E0,9.591801412E0
8.041073230E-1,-7.200000286E-1,6.733050346E0,6.444000244E0,9.347593602E0
8.066374750E-1,-7.870500088E-1,6.646950245E0,6.513000488E0,9.339195395E0
8.091673980E-1,-6.310500503E-1,6.787950516E0,6.846000195E0,9.661377492E0
8.117003210E-1,-3.870000243E-1,6.874050140E0,7.267950535E0,1.001126562E1
8.142277030E-1,-4.210500121E-1,6.964950562E0,7.363050461E0,1.014407864E1
8.167578540E-1,-7.819500566E-1,7.036950111E0,7.102050304E0,1.002842118E1
8.192879310E-1,-9.499500394E-1,6.832950115E0,6.982950211E0,9.815966891E0
8.218206240E-1,-8.800500631E-1,6.759000301E0,7.002000332E0,9.771723586E0
8.243482410E-1,-8.040000200E-1,6.877050400E0,7.093050480E0,9.912194678E0
8.268781620E-1,-7.129500508E-1,6.910050392E0,7.183950424E0,9.993309657E0
